speed | acceleration
------+-------------
 0.00 |
 0.00 |         0.00
 1.86 |         0.08
 4.35 |         0.11
 6.22 |         0.08
 8.08 |         0.08
10.57 |         0.11
14.92 |         0.20
16.16 |         0.06
18.65 |         0.11
22.37 |         0.17
26.10 |         0.17
26.72 |         0.03
26.72 |         0.00
28.59 |         0.08
30.45 |         0.08
31.08 |         0.03
31.70 |         0.03
32.32 |         0.03
32.94 |         0.03
32.94 |         0.00
33.56 |         0.03
33.56 |         0.00
33.56 |         0.00
34.18 |         0.03
35.43 |         0.06
36.05 |         0.03
36.67 |         0.03
37.29 |         0.03
37.29 |         0.00
37.29 |         0.00

